,Gene,x,y
474,Plp1,102,4645
475,3110035E14Rik,102,4467
476,Sulf2,102,4209
477,Plp1,102,4015
478,Plp1,102,3939
479,Plp1,103,5407
480,Cryab,103,5217
481,Plp1,103,5188
482,Pvalb,103,4953
483,Cryab,103,4827
484,Plp1,103,4773
485,Plp1,103,4648
486,Plp1,103,4494
487,Plp1,103,4065
488,Enpp2,103,3982
489,Plp1,104,5298
490,Enpp2,104,5203
491,Plp1,104,4002
492,Cryab,104,3992
493,Plp1,104,3922
494,Plp1,105,5416
495,Plp1,105,5144
496,Plp1,105,5072
497,Plp1,105,4675
498,Plp1,105,4640
499,Plp1,105,4490
500,3110035E14Rik,105,4467
501,Plp1,105,4208
502,Plp1,105,4063
503,Enpp2,105,4016
504,Plp1,105,4011
505,Plp1,105,4005
506,Plp1,105,4000
507,Plp1,105,3985
508,Plp1,106,5195
509,Plp1,106,4655
510,Plp1,106,4650
511,Snca,106,4515
512,Plp1,106,4492
513,Plp1,106,4068
514,Reln,106,4013
515,Plp1,106,3990
516,Plp1,106,3981
517,Pcp4,107,5443
518,Plp1,107,5409
519,Plp1,107,5398
520,Plp1,107,5137
521,Plp1,107,4768
522,Enpp2,107,4642
523,Plp1,107,4487
524,Enpp2,107,4010
525,Prkca,107,3963
526,Plp1,108,5422
527,Plp1,108,5402
528,Cryab,108,5353
529,Plp1,108,5287
530,Wfs1,108,4719
531,Plp1,108,4485
532,Cryab,109,5294
533,Plp1,109,5209
534,Plp1,109,5148
535,Wfs1,109,4718
536,Plp1,109,4491
537,Plp1,109,3974
538,Enpp2,110,5408
539,Plp1,110,5300
540,Prkca,110,5128
541,Plp1,110,4771
542,Plp1,110,4645
543,Plp1,110,4027
544,Plp1,111,5141
545,Cryab,111,4481
546,Pde1a,111,4181
547,Plp1,111,3988
548,Plp1,111,3919
549,Aldoc,111,3861
550,Plp1,112,5412
551,Plp1,112,5297
552,Cryab,112,5288
553,Enpp2,112,5130
554,Cryab,112,4854
555,Cryab,112,4737
556,Plp1,112,4485
557,Plp1,113,5291
558,Pcp4,113,4585
559,Plp1,113,3866
560,Plp1,114,5418
561,Plp1,114,5406
562,Enpp2,114,5402
563,Plp1,114,5303
564,Plp1,114,5127
565,Sulf2,114,4719
566,Plp1,114,4006
567,Enpp2,115,4205
568,Cplx2,115,4095
569,Plp1,115,3918
570,Plp1,116,5427
571,Plp1,116,5141
572,Plp1,116,5132
573,Nrn1,116,4377
574,Plp1,116,4001
575,Plp1,116,3871
576,Plp1,117,5275
577,Plp1,117,5126
578,Enpp2,117,4657
579,Plp1,117,4650
580,Cryab,117,3997
581,Cryab,117,3929
582,Id2,118,4290
583,Plp1,118,4217
584,Enc1,118,3926
585,Plp1,118,3865
586,Plp1,119,5303
587,Enpp2,119,5300
588,Plp1,119,5136
589,Plp1,119,4003
590,Plp1,119,3870
591,Plp1,120,5418
592,Plp1,120,5408
593,Plp1,120,4659
594,Plp1,120,4655
595,Id2,120,4647
596,Plp1,120,4629
597,Pvrl3,120,4168
598,Plp1,120,4006
599,Cryab,120,3915
600,Plp1,120,3862
601,Cryab,121,5411
602,Plp1,121,5296
603,Tac1,121,5123
