x_global,y_global,fov_id,label,target,x_cell,y_cell
53,5092,0,23,Cryab,59.085189000000355,5101.4569200000005
53,4592,0,20,Cryab,56.52744299999995,4586.64257
53,4539,0,17,Enpp2,48.385605999999825,4548.2053
53,4411,0,21,Cryab,55.449437999999645,4419.34591
54,5030,0,18,Cryab,50.747378000000026,5034.464250000001
54,4773,0,0,Cadps2,,
54,4584,0,20,Plp1,56.52744299999995,4586.64257
54,4554,0,17,Plp1,48.385605999999825,4548.2053
54,4542,0,17,Plp1,48.385605999999825,4548.2053
54,4429,0,21,Plp1,55.449437999999645,4419.34591
54,4209,0,11,Plp1,42.63932199999999,4196.321260000001
54,4192,0,11,Plp1,42.63932199999999,4196.321260000001
55,4791,0,0,Pvalb,,
55,4428,0,21,Plp1,55.449437999999645,4419.34591
56,5039,0,18,Cryab,50.747378000000026,5034.464250000001
56,5035,0,18,Plp1,50.747378000000026,5034.464250000001
56,4915,0,0,Plp1,,
56,4415,0,21,Plp1,55.449437999999645,4419.34591
56,4201,0,11,Plp1,42.63932199999999,4196.321260000001
56,4188,0,11,Enpp2,42.63932199999999,4196.321260000001
57,4538,0,17,Plp1,48.385605999999825,4548.2053
57,4144,0,0,Plp1,,
58,5011,0,28,Plp1,66.10372300000017,5011.03191
58,4815,0,24,Prkca,63.9462080000003,4812.54321
58,4545,0,17,Plp1,48.385605999999825,4548.2053
58,4540,0,17,Plp1,48.385605999999825,4548.2053
58,4423,0,21,Cux2,55.449437999999645,4419.34591
58,4408,0,21,Plp1,55.449437999999645,4419.34591
58,4288,0,0,Cryab,,
58,4213,0,11,Rgs4,42.63932199999999,4196.321260000001
59,5117,0,23,Cryab,59.085189000000355,5101.4569200000005
59,5105,0,23,Cryab,59.085189000000355,5101.4569200000005
59,5031,0,18,Cryab,50.747378000000026,5034.464250000001
59,4816,0,24,Prkca,63.9462080000003,4812.54321
59,4811,0,24,Aldoc,63.9462080000003,4812.54321
60,5020,0,28,Cryab,66.10372300000017,5011.03191
61,5111,0,23,Cryab,59.085189000000355,5101.4569200000005
61,4936,0,25,3110035E14Rik,72.61700800000017,4948.2327399999995
61,4592,0,20,Plp1,56.52744299999995,4586.64257
61,4587,0,20,Prkca,56.52744299999995,4586.64257
61,4537,0,17,Plp1,48.385605999999825,4548.2053
61,4425,0,21,Plp1,55.449437999999645,4419.34591
61,4409,0,21,Plp1,55.449437999999645,4419.34591
61,4209,0,11,Fam19a1,42.63932199999999,4196.321260000001
62,4680,0,29,Plp1,61.255263000000014,4685.73947
62,4588,0,20,Prkca,56.52744299999995,4586.64257
62,4423,0,21,Plp1,55.449437999999645,4419.34591
63,5096,0,23,Plp1,59.085189000000355,5101.4569200000005
63,5017,0,28,Plp1,66.10372300000017,5011.03191
63,4853,0,26,Enpp2,70.92188499999975,4852.999379999999
63,4151,0,0,Plp1,,
64,5004,0,28,Plp1,66.10372300000017,5011.03191
64,4078,0,27,Id2,76.59490100000039,4055.1691599999995
65,5018,0,28,Plp1,66.10372300000017,5011.03191
65,4894,0,0,Plp1,,
65,4862,0,26,Plp1,70.92188499999975,4852.999379999999
65,4849,0,26,Plp1,70.92188499999975,4852.999379999999
66,5203,0,0,Pcp4,,
66,5106,0,23,Plp1,59.085189000000355,5101.4569200000005
66,5101,0,23,Plp1,59.085189000000355,5101.4569200000005
66,5097,0,23,Plp1,59.085189000000355,5101.4569200000005
66,4916,0,0,Enpp2,,
66,4683,0,29,Enpp2,61.255263000000014,4685.73947
66,4583,0,20,Plp1,56.52744299999995,4586.64257
66,4469,0,0,Plp1,,
66,4158,0,33,Plp1,74.94434799999999,4160.46609
67,5105,0,23,Plp1,59.085189000000355,5101.4569200000005
67,5088,0,23,Plp1,59.085189000000355,5101.4569200000005
67,5020,0,28,Cryab,66.10372300000017,5011.03191
67,5000,0,28,Plp1,66.10372300000017,5011.03191
67,4913,0,0,Plp1,,
67,4910,0,0,Plp1,,
67,4847,0,26,Enpp2,70.92188499999975,4852.999379999999
67,4839,0,26,Cryab,70.92188499999975,4852.999379999999
67,4577,0,20,Plp1,56.52744299999995,4586.64257
68,5013,0,28,Enpp2,66.10372300000017,5011.03191
68,4589,0,20,Plp1,56.52744299999995,4586.64257
68,4419,0,21,Plp1,55.449437999999645,4419.34591
68,4150,0,33,Plp1,74.94434799999999,4160.46609
69,5096,0,23,Plp1,59.085189000000355,5101.4569200000005
69,5068,0,32,Pde1a,72.75579300000027,5070.295899999999
69,5008,0,28,Plp1,66.10372300000017,5011.03191
69,4901,0,0,Pde1a,,
69,4851,0,26,Plp1,70.92188499999975,4852.999379999999
69,4587,0,20,Plp1,56.52744299999995,4586.64257
69,4581,0,20,Plp1,56.52744299999995,4586.64257
69,4104,0,30,Plp1,70.45362099999966,4115.264289999999
70,5091,0,23,Plp1,59.085189000000355,5101.4569200000005
70,4842,0,26,Enpp2,70.92188499999975,4852.999379999999
70,4819,0,24,Aldoc,63.9462080000003,4812.54321
70,4796,0,24,Id2,63.9462080000003,4812.54321
