cell_id,fov_id,area,x,y
124,0,1135,6417.205286343612,14472.790308370044
125,0,1908,6432.042976939203,15046.301886792453
126,0,1225,6423.937959183673,14581.786122448979
127,0,1368,6427.451023391813,14422.771929824561
128,0,579,6419.115716753023,14925.613126079446
129,0,1471,6424.681169272603,13556.73623385452
130,0,229,6422.938864628821,15011.283842794759
131,0,443,6430.002257336343,14979.437923250563
132,0,6441,6469.12994876572,15099.327123117528
133,0,1179,6438.516539440204,13406.468193384224
134,0,837,6437.183990442055,14668.935483870968
135,0,979,6451.58937691522,13320.782431052094
136,0,1239,6451.756255044391,13990.426150121066
137,0,1481,6463.378798109386,13476.220796758947
138,0,955,6463.523560209424,14658.331937172774
139,0,510,6460.194117647059,14717.827450980392
140,0,1271,6465.841070023604,13738.86231313926
141,0,778,6461.537275064267,14793.570694087404
142,0,879,6471.985210466439,13779.084186575654
143,0,1460,6480.2520547945205,14772.419863013698
144,0,1050,6484.842857142858,15189.235238095238
145,0,1148,6487.423344947735,13234.518292682927
146,0,767,6488.607561929596,14960.375488917862
147,0,969,6498.2910216718265,15167.772961816305
148,0,644,6496.9503105590065,15090.473602484471
149,0,802,6501.774314214464,14682.706982543641
150,0,1099,6507.525022747953,13350.633303002729
151,0,1200,6508.385833333334,14307.731666666667
152,0,1174,6514.320272572402,15076.252981260648
153,0,1320,6513.995454545455,14836.875
154,0,1312,6523.100609756098,14513.858993902439
155,0,1402,6533.8174037089875,13878.291726105563
156,0,410,6530.6365853658535,14586.341463414634
157,0,311,6532.186495176849,15304.893890675241
158,0,1152,6544.166666666667,14912.921875
159,0,1389,6550.0619150467965,14019.147588192944
160,0,1346,6547.564635958395,14653.549034175334
161,0,2957,6563.917483936422,15321.85525870815
162,0,888,6551.981981981982,15282.791666666666
163,0,420,6551.116666666667,14960.390476190476
164,0,1313,6562.173648134044,14588.875095201827
165,0,322,6555.251552795031,15160.981366459628
166,0,1377,6571.196804647785,14171.9593318809
167,0,490,6564.8591836734695,14146.451020408163
168,0,1617,6574.429808286951,14775.833642547928
169,0,712,6570.501404494382,15175.10393258427
170,0,1728,6577.795138888889,15368.008680555555
171,0,426,6568.5,14629.0
172,0,1477,6588.742044685173,15074.208530805687
173,0,1145,6586.417467248908,13333.846288209606
174,0,1112,6594.722122302158,15397.107913669064
175,0,1007,6594.842105263158,15016.946375372394
